frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
177,6.0,[497.4246223879146 666.8803819530107 842.4092255262045 936.2806531688235],[622.7664184570312 836.552490234375 718.9486083984375 877.9808349609375],0.5480698347091675,GX15OGJ,0.8156711818057863
180,6.0,[498.32560865418725 672.5893101764757 843.6268332289443 941.8061780839489],[614.5384521484375 843.27978515625 713.72412109375 885.977783203125],0.5843523144721985,GX15OGJ,0.49576658589030304
181,6.0,[497.80305406188495 675.0719745632485 843.4807120041698 944.811195474217],[614.4598388671875 843.1481323242188 714.7276611328125 885.8582153320312],0.5752245783805847,GX15OGJ,0.23131876421151482
182,6.0,[497.39991639418827 676.6589182750006 843.4915022116295 947.028114540122],[616.0557861328125 846.3490600585938 716.71875 891.1626586914062],0.5931121110916138,CX15OGJ,0.18955373583270727
183,6.0,[497.1496151904939 677.0707350437715 843.5505121593064 947.8785083610367],[616.0669555664062 846.37646484375 716.7135620117188 891.1408081054688],0.592223584651947,CX15OGJ,0.18955373583270727
184,6.0,[493.0178095933135 680.0818529394402 842.696885196954 950.2162793840804],[609.6162109375 847.1239013671875 699.2554931640625 893.31591796875],0.49416202306747437,GX15OGJ,0.21653954976569595
185,6.0,[490.81518243970487 681.2464773312479 842.8214537815084 950.8297510389211],[609.5505981445312 847.0733642578125 699.4209594726562 893.3741455078125],0.49487707018852234,GX15OGJ,0.21653954976569595
186,6.0,[488.93086585798795 682.9218226338071 842.7889667706056 952.9003895447838],[612.5571899414062 850.7127685546875 717.9879150390625 897.0618896484375],0.5065052509307861,GX15OGJ,0.28758839807864495
187,6.0,[487.6166441693298 683.4447423521474 842.9106193635456 953.7698731350511],[613.38427734375 850.5554809570312 718.1570434570312 897.1400756835938],0.5121741890907288,GX15OCJ,0.3238073132646515
188,6.0,[487.11999147693075 683.4767940103249 843.654044919772 954.2731842736388],[614.2398681640625 855.8688354492188 708.5187377929688 897.1342163085938],0.4330400228500366,GX15OCJ,0.4357700678962846
189,6.0,[486.935373664533 683.3413917492657 844.1652211835997 954.4714757100375],[614.2445068359375 855.9021606445312 708.9112548828125 897.1587524414062],0.44396641850471497,GX15OCJ,0.4357700678962846
194,6.0,[482.9774972773863 690.8576002172581 841.3346455010006 968.3059885810585],[606.9963989257812 865.587890625 712.556884765625 906.815185546875],0.5636802315711975,GX15OGJ,0.22254738741188357
