frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
303,1,1023.8588299252089 638.7217977561581 1329.3681075638915 896.2269761847986,1126.6854858398438 792.281982421875 1235.9779052734375 835.4380187988281,0,0,0
304,1,1021.640761258081 639.7672492729697 1328.99499475017 897.2128289714157,1126.6024169921875 793.5802001953125 1240.8958740234375 839.0978393554688,0.5244011282920837,XP05JEQ,0.3482571819769896
305,1,1020.3345574034652 640.5274753752001 1328.575756140367 897.7602925357294,1126.607666015625 793.5971069335938 1240.8717041015625 839.0770263671875,0.5242434740066528,XP05JEQ,0.3482571819769896
306,1,1020.4021320500092 642.2949250012557 1328.2905290192198 900.259004259018,1128.5277099609375 796.4310302734375 1238.667724609375 844.6302490234375,0.3832189738750458,AP05JEO,0.23890221046944965
307,1,1020.3149493620888 642.798627026545 1328.4763032205753 901.3194020751129,1128.5498046875 796.3866577148438 1238.8221435546875 844.6766967773438,0.36906352639198303,AP05JEO,0.23890221046944965
308,1,1020.7460092720778 643.0797244776513 1330.2342071748205 901.9644863783969,1131.8238525390625 800.9961547851562 1245.37890625 850.459716796875,0.36644065380096436,AP05JEO,0.646334353405295
309,1,1020.7766557545683 643.0792531342847 1331.1157635157301 902.2242866903334,1131.916748046875 800.991455078125 1245.3934326171875 850.4352416992188,0.37211480736732483,AP05JEO,0.646334353405295
310,1,1023.479015520744 644.379815507146 1335.9756369064796 903.8546908474842,1132.99853515625 804.8137817382812 1239.037109375 848.5772705078125,0.45457544922828674,AP05JEO,0.19912664423583726
311,1,1024.0307743643807 644.8171812788069 1338.007018915524 904.5504568140457,1134.0931396484375 805.3986206054688 1239.5816650390625 848.8931274414062,0.48703086376190186,AP05JEO,0.4731906075227984
312,1,1024.6509220817145 649.1605000243474 1338.312936043373 908.7102847354638,1142.139404296875 808.2398071289062 1247.8370361328125 851.4607543945312,0.4309215843677521,AP05JEO,0.5548171317392501
313,1,1024.9477147905327 650.8288490896898 1338.2015427438469 910.2896244489782,1142.1175537109375 808.305419921875 1247.451904296875 851.4961547851562,0.4269810616970062,AP05JEO,0.6014288987847186
314,1,1022.898790992186 651.4801558956215 1335.5150482837635 911.5433797243754,1134.5086669921875 809.0548706054688 1247.1710205078125 849.936279296875,0.4960487484931946,AP05JEO,0.5046561830130437
315,1,1022.2621740169154 651.7683112829485 1334.237919560472 912.2849581653096,1134.050537109375 808.795166015625 1247.23388671875 849.939697265625,0.4913628101348877,AP05JEO,0.560479445216686
316,1,1021.158157958298 653.0755605343838 1334.1890167326064 913.8637632628056,1142.1083984375 816.1287841796875 1249.4532470703125 853.0792846679688,0.30746233463287354,AP05JEQ,0.6798083554438736
317,1,1020.6938538914803 653.5125319520124 1334.4134540423527 914.4418901148566,1142.066650390625 816.088623046875 1249.5264892578125 853.118408203125,0.3110966682434082,AP05JEQ,0.6798083554438736
318,1,1021.3549127582439 655.4976938855723 1335.4155377854242 917.0783237908886,1142.30322265625 819.2138671875 1238.4010009765625 854.2635498046875,0.3103090822696686,AP05JEO,0.4409046814961027
319,1,1021.5603171847101 656.0493151710155 1335.714718570841 918.1781962156617,1140.2352294921875 819.8084716796875 1240.614013671875 854.7938842773438,0.2910236716270447,AP05JEO,0.3857522800360554
320,1,1023.2455757318481 657.2417238349883 1336.0369516442004 919.5277437304131,1137.5816243489583 819.3016764322916 1243.371337890625 856.2443033854166,0,0,0
321,1,1024.9308342789861 658.4341324989613 1336.35918471756 920.8772912451645,1134.9280192057292 818.7948811848959 1246.128662109375 857.6947224934896,0,0,0
322,1,1026.6160928261243 659.6265411629341 1336.6814177909196 922.226838759916,1132.2744140625 818.2880859375 1248.885986328125 859.1451416015625,0.514428973197937,AP05JEO,0.18595791571864298
323,1,1026.5565882436074 661.0780126772831 1336.6963506155262 924.3458681645641,1137.9633178710938 822.5335998535156 1253.189453125 864.9979553222656,0,0,0
324,1,1026.4970836610905 662.5294841916323 1336.7112834401328 926.4648975692123,1143.6522216796875 826.7791137695312 1257.492919921875 870.8507690429688,0.2611316442489624,AP05JEO,0.14884833351536925
325,1,1026.0700406140847 663.1407436235456 1337.0716121510675 927.7864160225856,1143.5966796875 826.708740234375 1257.50439453125 870.90966796875,0.2577802538871765,AP05JEO,0.14884833351536925
326,1,1029.1752747700803 664.3814981075266 1339.9678861849916 929.7267993255159,1136.251220703125 827.0802612304688 1248.96142578125 871.3057250976562,0.3840102255344391,AP05JEO,0.21775267117371178
